time,open,high,low,close,tick_volume,spread,real_volume
2024-03-03 23:00:00,2082.74,2086.13,2082.52,2083.45,3579,29,0
2024-03-04 00:00:00,2083.45,2084.35,2082.15,2082.5,3536,29,0
2024-03-04 01:00:00,2082.56,2082.86,2079.36,2080.14,4871,29,0
2024-03-04 02:00:00,2080.14,2083.38,2079.77,2081.39,3660,29,0
2024-03-04 03:00:00,2081.39,2081.88,2080.25,2081.37,2243,29,0
2024-03-04 04:00:00,2081.37,2081.48,2080.21,2080.73,1076,29,0
2024-03-04 05:00:00,2080.73,2082.21,2080.41,2081.45,1718,29,0
2024-03-04 06:00:00,2081.45,2083.87,2080.95,2083.44,3488,29,0
2024-03-04 07:00:00,2083.43,2088.21,2083.43,2087.33,4840,29,0
2024-03-04 08:00:00,2087.34,2087.45,2083.36,2083.81,8267,29,0
2024-03-04 09:00:00,2083.8,2086.09,2083.1,2085.09,6304,29,0
2024-03-04 10:00:00,2085.09,2085.71,2082.56,2083.84,5864,29,0
2024-03-04 11:00:00,2083.84,2084.52,2081.77,2082.0,6179,29,0
2024-03-04 12:00:00,2082.0,2083.31,2081.75,2082.51,6158,29,0
2024-03-04 13:00:00,2082.51,2093.07,2081.06,2091.54,15297,29,0
2024-03-04 14:00:00,2091.6,2101.35,2090.39,2100.71,21366,29,0
2024-03-04 15:00:00,2100.71,2109.31,2097.48,2109.0,16941,29,0
2024-03-04 16:00:00,2108.94,2119.82,2107.62,2119.22,21081,29,0
2024-03-04 17:00:00,2119.23,2119.72,2113.84,2116.39,15088,29,0
2024-03-04 18:00:00,2116.39,2118.03,2113.47,2115.23,10574,29,0
2024-03-04 19:00:00,2115.22,2117.23,2113.21,2116.24,7673,29,0
2024-03-04 20:00:00,2116.23,2118.46,2115.31,2116.6,5598,29,0
2024-03-04 21:00:00,2116.62,2117.22,2114.15,2114.28,1941,29,0
2024-03-04 23:00:00,2113.75,2115.76,2113.43,2114.49,1839,29,0
2024-03-05 00:00:00,2114.49,2115.81,2114.12,2115.41,2679,29,0
2024-03-05 01:00:00,2115.41,2116.8,2110.39,2112.57,7108,29,0
2024-03-05 02:00:00,2112.57,2113.22,2111.29,2112.24,3948,29,0
2024-03-05 03:00:00,2112.24,2113.9,2111.19,2112.94,2806,29,0
2024-03-05 04:00:00,2112.94,2115.84,2112.58,2115.82,2555,29,0
2024-03-05 05:00:00,2115.81,2119.65,2115.27,2119.2,5369,29,0
2024-03-05 06:00:00,2119.2,2119.52,2115.14,2117.24,4919,29,0
2024-03-05 07:00:00,2117.24,2117.71,2113.87,2114.37,6105,29,0
2024-03-05 08:00:00,2114.38,2123.29,2114.36,2120.59,10626,29,0
2024-03-05 09:00:00,2120.58,2125.27,2118.93,2124.44,9109,29,0
2024-03-05 10:00:00,2124.44,2127.23,2123.26,2123.61,7663,29,0
2024-03-05 11:00:00,2123.61,2127.1,2122.51,2124.38,8574,29,0
