time,open,high,low,close,tick_volume,spread,real_volume
2025-06-23 16:35:00,3391.36,3392.27,3386.56,3388.78,2021,29,0
2025-06-23 16:40:00,3388.8,3389.19,3380.37,3386.44,2432,29,0
2025-06-23 16:45:00,3386.44,3386.5,3383.33,3385.26,1580,29,0
2025-06-23 16:50:00,3385.04,3388.0,3384.6,3386.98,1199,29,0
2025-06-23 16:55:00,3386.98,3390.26,3386.98,3389.71,1583,29,0
2025-06-23 17:00:00,3389.71,3391.36,3384.83,3387.27,1883,29,0
2025-06-23 17:05:00,3387.27,3389.97,3384.9,3388.65,1235,29,0
2025-06-23 17:10:00,3388.65,3388.8,3385.75,3387.16,1198,29,0
2025-06-23 17:15:00,3387.16,3387.48,3381.14,3381.45,1689,29,0
2025-06-23 17:20:00,3381.45,3381.88,3378.44,3379.21,1859,29,0
2025-06-23 17:25:00,3379.21,3380.03,3375.58,3379.31,1834,29,0
2025-06-23 17:30:00,3379.24,3383.36,3378.24,3382.73,1534,29,0
2025-06-23 17:35:00,3382.73,3384.5,3381.87,3382.64,1138,29,0
2025-06-23 17:40:00,3382.56,3383.11,3381.72,3381.85,1050,29,0
2025-06-23 17:45:00,3381.85,3382.33,3380.17,3381.94,1175,29,0
2025-06-23 17:50:00,3382.13,3383.08,3381.16,3382.18,885,29,0
2025-06-23 17:55:00,3382.18,3383.44,3381.89,3382.41,897,29,0
2025-06-23 18:00:00,3382.41,3383.08,3378.96,3379.65,1172,29,0
2025-06-23 18:05:00,3379.65,3381.09,3378.93,3380.7,898,29,0
2025-06-23 18:10:00,3380.71,3385.99,3380.3,3385.94,1020,29,0
2025-06-23 18:15:00,3385.95,3387.62,3384.42,3385.22,1183,29,0
2025-06-23 18:20:00,3385.22,3386.18,3384.73,3385.06,968,29,0
2025-06-23 18:25:00,3385.12,3385.43,3383.27,3384.69,973,29,0
2025-06-23 18:30:00,3384.69,3384.81,3377.01,3377.33,1144,29,0
2025-06-23 18:35:00,3377.33,3380.41,3376.75,3379.31,724,29,0
2025-06-23 18:40:00,3379.09,3379.56,3378.49,3378.85,531,29,0
2025-06-23 18:45:00,3378.85,3380.36,3378.41,3379.52,657,29,0
2025-06-23 18:50:00,3379.52,3381.46,3379.51,3380.27,651,29,0
2025-06-23 18:55:00,3380.27,3380.62,3378.38,3378.52,624,29,0
2025-06-23 19:00:00,3378.52,3380.04,3378.0,3379.13,694,29,0
2025-06-23 19:05:00,3379.13,3380.94,3379.11,3379.12,526,29,0
2025-06-23 19:10:00,3379.12,3380.45,3378.94,3380.36,616,29,0
2025-06-23 19:15:00,3380.36,3380.96,3379.72,3380.94,424,29,0
2025-06-23 19:20:00,3380.94,3381.48,3380.16,3380.37,541,29,0
2025-06-23 19:25:00,3380.37,3380.8,3379.52,3380.6,481,29,0
2025-06-23 19:30:00,3380.6,3380.86,3379.17,3380.67,430,29,0
2025-06-23 19:35:00,3380.67,3382.06,3380.49,3381.5,524,29,0
2025-06-23 19:40:00,3381.49,3381.56,3378.76,3379.17,590,29,0
2025-06-23 19:45:00,3379.17,3379.56,3378.43,3378.7,488,29,0
2025-06-23 19:50:00,3378.7,3379.23,3376.03,3377.24,866,29,0
2025-06-23 19:55:00,3377.21,3377.56,3375.65,3376.32,1019,29,0
2025-06-23 20:00:00,3376.07,3377.2,3374.8,3376.46,616,29,0
2025-06-23 20:05:00,3376.46,3376.46,3374.52,3375.83,412,29,0
2025-06-23 20:10:00,3375.83,3376.13,3373.83,3373.94,290,29,0
2025-06-23 20:15:00,3373.94,3375.22,3372.93,3374.61,347,29,0
2025-06-23 20:20:00,3374.61,3374.61,3372.43,3372.75,331,29,0
2025-06-23 20:25:00,3372.75,3373.21,3371.88,3372.54,401,29,0
2025-06-23 20:30:00,3372.54,3372.58,3369.94,3372.19,413,29,0
2025-06-23 20:35:00,3372.19,3372.32,3369.63,3370.12,430,29,0
2025-06-23 20:40:00,3370.12,3370.7,3367.2,3370.7,626,29,0
2025-06-23 20:45:00,3370.66,3371.15,3368.45,3368.96,406,29,0
2025-06-23 20:50:00,3369.06,3370.3,3367.14,3368.55,579,29,0
2025-06-23 20:55:00,3368.55,3369.1,3367.88,3368.88,373,29,0
2025-06-23 22:00:00,3368.79,3368.79,3357.02,3358.41,803,29,0
2025-06-23 22:05:00,3358.41,3363.52,3358.41,3362.34,695,29,0
2025-06-23 22:10:00,3362.35,3363.71,3356.16,3357.49,739,29,0
2025-06-23 22:15:00,3357.51,3360.94,3352.44,3352.73,1100,29,0
2025-06-23 22:20:00,3352.73,3357.16,3350.25,3351.28,906,29,0
2025-06-23 22:25:00,3351.28,3357.86,3351.13,3356.34,903,29,0
2025-06-23 22:30:00,3356.34,3361.18,3356.11,3356.8,1108,29,0
2025-06-23 22:35:00,3356.81,3358.85,3355.46,3356.73,559,29,0
2025-06-23 22:40:00,3356.73,3358.17,3355.38,3357.7,535,29,0
2025-06-23 22:45:00,3357.7,3359.99,3355.0,3358.68,498,29,0
2025-06-23 22:50:00,3358.68,3359.1,3356.81,3357.56,434,29,0
2025-06-23 22:55:00,3357.56,3357.97,3353.89,3355.22,523,29,0
2025-06-23 23:00:00,3355.22,3357.23,3351.49,3354.45,1075,29,0
2025-06-23 23:05:00,3354.45,3355.26,3350.08,3355.23,854,29,0
2025-06-23 23:10:00,3355.22,3355.76,3353.92,3354.2,501,29,0
2025-06-23 23:15:00,3354.19,3354.26,3348.91,3351.78,1011,29,0
2025-06-23 23:20:00,3351.78,3353.51,3350.65,3352.89,584,29,0
2025-06-23 23:25:00,3352.89,3353.87,3350.65,3352.34,450,29,0
2025-06-23 23:30:00,3352.34,3353.28,3344.86,3345.18,813,29,0
2025-06-23 23:35:00,3345.19,3349.37,3342.72,3347.4,1278,29,0
2025-06-23 23:40:00,3347.4,3351.24,3345.23,3350.93,804,29,0
2025-06-23 23:45:00,3350.95,3351.16,3347.45,3347.45,949,29,0
2025-06-23 23:50:00,3347.45,3348.44,3345.0,3345.37,946,29,0
2025-06-23 23:55:00,3345.4,3345.4,3341.2,3344.17,1047,29,0
2025-06-24 00:00:00,3344.19,3345.14,3333.17,3335.7,1756,29,0
2025-06-24 00:05:00,3335.7,3339.92,3334.76,3339.92,975,29,0
