time,open,high,low,close,tick_volume,spread,real_volume
2025-12-18 04:15:00,4330.18,4332.05,4328.97,4330.33,2062,37,0
2025-12-18 04:30:00,4330.31,4331.51,4328.5,4329.55,2382,37,0
2025-12-18 04:45:00,4329.55,4332.38,4329.24,4331.78,2589,37,0
2025-12-18 05:00:00,4331.58,4337.16,4331.0,4337.12,2864,37,0
2025-12-18 05:15:00,4337.12,4337.32,4334.71,4335.77,2824,37,0
2025-12-18 05:30:00,4335.78,4337.17,4332.75,4336.8,3782,37,0
2025-12-18 05:45:00,4336.76,4337.05,4332.26,4333.12,3815,37,0
2025-12-18 06:00:00,4333.08,4335.27,4330.7,4334.27,3813,37,0
2025-12-18 06:15:00,4334.26,4335.25,4331.89,4333.46,3279,37,0
2025-12-18 06:30:00,4333.46,4336.0,4333.08,4333.52,2972,37,0
2025-12-18 06:45:00,4333.5,4334.73,4331.96,4333.86,3594,37,0
2025-12-18 07:00:00,4333.71,4334.88,4329.97,4330.84,2638,37,0
2025-12-18 07:15:00,4330.85,4335.03,4330.4,4335.02,2386,37,0
2025-12-18 07:30:00,4335.05,4337.66,4332.76,4333.32,2551,37,0
2025-12-18 07:45:00,4333.4,4333.93,4331.29,4331.29,2400,37,0
2025-12-18 08:00:00,4330.76,4332.53,4324.71,4328.33,3602,37,0
2025-12-18 08:15:00,4328.34,4329.57,4325.95,4327.14,3092,37,0
2025-12-18 08:30:00,4327.13,4328.78,4324.95,4328.38,2853,37,0
2025-12-18 08:45:00,4328.4,4328.92,4321.94,4326.48,2843,37,0
2025-12-18 09:00:00,4326.41,4328.49,4324.44,4326.36,2893,37,0
2025-12-18 09:15:00,4326.34,4328.11,4323.65,4324.62,2842,37,0
2025-12-18 09:30:00,4324.61,4326.84,4321.21,4324.26,3174,37,0
2025-12-18 09:45:00,4324.27,4324.45,4320.64,4323.26,2455,37,0
2025-12-18 10:00:00,4323.21,4325.74,4322.73,4324.52,2303,37,0
2025-12-18 10:15:00,4324.53,4325.33,4323.15,4323.33,1958,37,0
2025-12-18 10:30:00,4323.61,4327.32,4321.9,4327.09,2475,37,0
2025-12-18 10:45:00,4327.09,4327.48,4323.93,4325.18,2653,37,0
2025-12-18 11:00:00,4325.24,4328.51,4324.22,4327.08,2471,37,0
2025-12-18 11:15:00,4327.15,4328.16,4325.27,4325.59,2084,37,0
2025-12-18 11:30:00,4325.57,4326.95,4325.14,4326.43,1837,37,0
2025-12-18 11:45:00,4326.41,4326.71,4324.5,4325.41,1912,37,0
2025-12-18 12:00:00,4325.39,4326.34,4321.52,4323.94,2599,37,0
2025-12-18 12:15:00,4323.89,4324.31,4317.1,4319.19,2711,37,0
2025-12-18 12:30:00,4319.19,4323.36,4318.28,4322.52,2819,37,0
2025-12-18 12:45:00,4322.49,4322.6,4320.16,4320.7,2443,37,0
2025-12-18 13:00:00,4320.45,4324.14,4314.45,4316.13,3861,37,0
2025-12-18 13:15:00,4316.09,4323.81,4315.83,4320.74,3747,37,0
2025-12-18 13:30:00,4320.6,4338.31,4320.58,4336.45,5521,37,0
2025-12-18 13:45:00,4336.36,4342.87,4334.84,4336.38,4874,37,0
2025-12-18 14:00:00,4336.2,4341.3,4333.09,4336.52,4729,37,0
2025-12-18 14:15:00,4336.52,4338.8,4332.41,4332.62,4368,37,0
2025-12-18 14:30:00,4332.55,4341.04,4311.38,4314.02,6067,37,0
2025-12-18 14:45:00,4314.09,4330.03,4308.7,4328.48,5968,37,0
2025-12-18 15:00:00,4328.5,4336.72,4326.44,4330.62,5637,37,0
2025-12-18 15:15:00,4330.69,4334.15,4324.81,4333.19,5341,37,0
2025-12-18 15:30:00,4332.84,4341.24,4331.3,4337.27,5103,37,0
2025-12-18 15:45:00,4337.31,4341.2,4334.45,4338.17,4786,37,0
2025-12-18 16:00:00,4338.2,4367.69,4337.72,4362.38,5112,37,0
2025-12-18 16:15:00,4362.57,4374.33,4362.21,4367.13,5502,37,0
2025-12-18 16:30:00,4367.14,4371.51,4363.48,4366.7,4894,37,0
2025-12-18 16:45:00,4366.79,4369.17,4356.32,4360.3,4767,37,0
2025-12-18 17:00:00,4360.33,4363.36,4322.59,4328.49,5717,37,0
2025-12-18 17:15:00,4328.37,4332.64,4321.61,4327.67,5606,37,0
2025-12-18 17:30:00,4327.75,4341.96,4325.99,4337.31,4820,37,0
2025-12-18 17:45:00,4337.47,4338.42,4325.01,4333.04,4446,37,0
2025-12-18 18:00:00,4333.1,4340.72,4331.4,4339.25,4125,37,0
2025-12-18 18:15:00,4339.46,4340.83,4331.71,4331.97,4557,37,0
2025-12-18 18:30:00,4331.99,4340.24,4331.79,4333.73,3752,37,0
2025-12-18 18:45:00,4333.7,4334.25,4325.73,4331.56,3948,37,0
2025-12-18 19:00:00,4331.54,4332.85,4326.39,4329.17,3420,37,0
2025-12-18 19:15:00,4329.19,4334.13,4328.54,4333.44,3428,37,0
2025-12-18 19:30:00,4333.87,4334.62,4327.57,4329.42,3853,37,0
2025-12-18 19:45:00,4329.34,4330.47,4322.68,4324.82,3743,37,0
2025-12-18 20:00:00,4324.88,4335.77,4324.4,4333.56,3873,37,0
2025-12-18 20:15:00,4333.57,4333.85,4328.47,4332.24,3410,37,0
2025-12-18 20:30:00,4332.25,4338.03,4330.99,4335.92,3574,37,0
2025-12-18 20:45:00,4335.88,4336.2,4332.12,4334.63,3647,37,0
2025-12-18 21:00:00,4334.6,4334.6,4331.23,4332.53,1580,37,0
2025-12-18 21:15:00,4332.58,4332.88,4330.63,4332.14,1273,37,0
2025-12-18 21:30:00,4331.98,4332.72,4328.35,4330.85,1083,37,0
2025-12-18 21:45:00,4330.79,4333.85,4330.79,4332.42,1224,37,0
2025-12-18 23:00:00,4334.49,4336.29,4334.09,4334.73,813,37,0
2025-12-18 23:15:00,4334.83,4336.52,4333.94,4333.99,1173,37,0
2025-12-18 23:30:00,4333.98,4335.44,4333.52,4334.0,1218,37,0
