iter	MultiClass
0	0.9344661042
1	0.7987649782
2	0.7079148313
3	0.6257338576
4	0.5532281187
5	0.4904253117
6	0.4381622192
7	0.3920267711
8	0.3541002052
9	0.3196741714
10	0.2874267429
11	0.2618596791
12	0.2376494989
13	0.2154026923
14	0.1959211349
15	0.177973951
16	0.1642337406
17	0.1511582075
18	0.1396680037
19	0.1297737995
20	0.1206692635
21	0.1121350041
22	0.1028060379
23	0.09463343291
24	0.08871175533
25	0.08321852254
26	0.07783339142
27	0.0720860877
28	0.06721708083
29	0.06283838873
30	0.05822993236
31	0.05455326408
32	0.05161762235
33	0.04831050257
34	0.04528312547
35	0.04195569575
36	0.03906573818
37	0.03634977558
38	0.03417893896
39	0.03164882481
40	0.03019086682
41	0.02828853168
42	0.02648805628
43	0.02497413744
44	0.02337682279
45	0.02196885898
46	0.0208681176
47	0.0196993083
48	0.01875779978
49	0.01761662207
50	0.01693772942
51	0.016061393
52	0.01527335697
53	0.01446992836
54	0.01375427356
55	0.01308499706
56	0.01240319529
57	0.01184866056
58	0.01137322297
59	0.01073458565
60	0.01016804036
61	0.00981408272
62	0.009423798218
63	0.009161789008
64	0.008793736647
65	0.00845604908
66	0.008000153687
67	0.007612069375
68	0.007226295394
69	0.006935137225
70	0.006617008695
71	0.006360842359
72	0.006220864029
73	0.005972825066
74	0.005721741466
75	0.005443538613
76	0.005254328604
77	0.005073189082
78	0.004926238117
79	0.004766825692
80	0.004610038709
81	0.004413489312
82	0.00423200142
83	0.004059129998
84	0.003897878214
85	0.00375180347
86	0.003610595979
87	0.003478369216
88	0.003354393478
89	0.003238007206
90	0.003128610084
91	0.003026903518
92	0.002929811733
93	0.002838224017
94	0.00275172885
95	0.002669950996
96	0.002592547954
97	0.002519206769
98	0.002449641186
99	0.002383589092
